Site,MJD,camera,F00,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19
"lsc",2458585.252531300,"fa09",6.993357247753708,6.068640671206201,2.082125629109588,1.318262680190401,1.191057487472507,0.2640030957218718,0.2878472499238457,0.1855681624014720,0.03428501324095544,0.2193450628153037,-7.753093588181207,-6.597179904889518,-2.470200324459055,-1.585255174515720,-1.444711347151280,-0.4467823762908874,-0.3348927245364195,-0.3780549373757824,-0.1042985421855909,-0.05390351598722409
"lsc",2458585.255336200,"fa09",7.000115924467879,5.961643941671569,2.075325554031692,1.338003026774465,1.154409485365723,0.2013510219657598,0.3373865861567036,0.2995827894017082,0.03764658247146812,0.08052379669446186,-7.732946487904067,-6.678277678350917,-2.442248619790856,-1.597617084156453,-1.414957864207846,-0.3958706003572984,-0.3231508037269216,-0.3720675527630566,-0.08734558882031684,-0.1267423725289595
"lsc",2458585.255336200,"fa09",7.000562842793123,5.963021473849002,2.075814274970400,1.338712536903974,1.155354025414125,0.2022422148048317,0.3374997278538472,0.2998808904987532,0.03767462788332707,0.08142075658233705,-7.732973066141135,-6.678238350905485,-2.442274255442765,-1.597643386405573,-1.415046729802413,-0.3959231861617411,-0.3231326730832792,-0.3720932890877791,-0.08735439838940307,-0.1266929550751437
"lsc",2458585.255336200,"fa09",7.000565461022743,5.963037672725351,2.075816469928731,1.338707130426130,1.155377535252387,0.2022609526534143,0.3374864136450642,0.2998597948630739,0.03767433646101939,0.08144401541353807,-7.732966021621283,-6.678245030714736,-2.442259950764622,-1.597633147781061,-1.415008063546271,-0.3958912570938221,-0.3231437404707380,-0.3720659765121828,-0.08734797740244082,-0.1267111197927895
"lsc",2458585.255336200,"fa09",7.005844885811500,5.979011440419598,2.087968087012826,1.356270235733297,1.166705638007659,0.2256986606671805,0.3369343421507983,0.2985642421894807,0.03754477187565038,0.09124826999892688,-7.732920668909662,-6.678187827803248,-2.442198862074916,-1.597549285515050,-1.414937936517006,-0.3957896945439062,-0.3230886345815751,-0.3719299711925013,-0.08733336863447760,-0.1266949818664446
"lsc",2458585.255336200,"fa09",7.015502016477605,5.965723843518547,2.100117684960864,1.363343431839956,1.186838753761263,0.2379617092344808,0.3438816159887924,0.3031263205354580,0.04742483997184900,0.07729124206308224,-7.730923674884123,-6.635592900783468,-2.421590201906914,-1.604246442625575,-1.409575376510698,-0.3621462761228877,-0.3111377422527756,-0.3765360646339815,-0.07826034938950205,-0.08535706905573526
"lsc",2458585.258141200,"fa09",7.004728385363493,6.065909700363364,2.102089509505693,1.345346744737277,1.211318578769952,0.3054319974105756,0.2946786097652926,0.2114223525812942,0.03413766064456990,0.1970307528842721,-7.738516872244667,-6.654642106131232,-2.437904410310829,-1.571446793999066,-1.424385609013030,-0.3929530659956638,-0.3275134501687971,-0.3634793728542877,-0.09043049508347900,-0.1068728898363213
"lsc",2458585.258141200,"fa09",7.004758611643703,6.065905640750088,2.102130870102350,1.345408161858514,1.211371396419463,0.3055087994680493,0.2946972459276789,0.2114690815690294,0.03413544958477907,0.1969908183601473,-7.738449085540545,-6.654703232479163,-2.437876816073916,-1.571389775286351,-1.424230590867463,-0.3929172659943441,-0.3274756985459167,-0.3633501827776086,-0.09042253657757704,-0.1069775324959161
"lsc",2458585.258141200,"fa09",7.004839263746586,6.066103143317965,2.102264600420263,1.345591956919562,1.211538448178786,0.3057465775131402,0.2947289023963316,0.2115761589633522,0.03415129572155309,0.1970931060327716,-7.738454896758601,-6.654697506974561,-2.437871200596101,-1.571399451464854,-1.424236888877349,-0.3928934078196040,-0.3274934058528120,-0.3633671853401573,-0.09042460110662137,-0.1069621555182888
"lsc",2458585.258141200,"fa09",7.004757850366850,6.065819294885215,2.102110644368149,1.345385311250071,1.211376144638272,0.3054729697294832,0.2946971736006523,0.2114719416305417,0.03413081209841071,0.1969048186478675,-7.738445385067802,-6.654730618826962,-2.437875823638050,-1.571391023961460,-1.424205618173426,-0.3929098240565025,-0.3275012682453681,-0.3633747629784165,-0.09042044043262271,-0.1069906694357571
"lsc",2458585.258141200,"fa09",6.988401870614068,5.992910420597922,2.119168731581147,1.348666291680434,1.166123264937903,0.3506315251348100,0.3025069364217325,0.2393788625719131,0.03064037214058546,0.1324069233472349,-7.742973789423025,-6.558151618911998,-2.458738451582885,-1.570019241267084,-1.421149519185200,-0.4320908098741509,-0.3335934928935678,-0.3649398899105778,-0.09485938712238086,-0.01506911622916851
