Selected Redman 2013 ThAr lines.  Vacuum lam from energy levels.
lambda(nm)    Bright  dlambda(nm)
 444.2112730    800.  0.0000080
 444.4913035    550.  0.0000013
 444.6281560    630.  0.0000060
 444.6535910    300.  0.0000100
 444.6563630    590.  0.0000050
 444.7149172   3100.  0.0000018
 444.9083230    630.  0.0000080
 445.2053290    490.  0.0000040
 445.3815269   2900.  0.0000016
 445.9252780   4000.  0.0000023
 446.2493202   2300.  0.0000012
 446.2779900   3000.  0.0000030
 446.6593830   1300.  0.0000070
 447.0779590   1500.  0.0000030
 447.2245240    440.  0.0000060
 447.6477152   2000.  0.0000010
 447.9852440    660.  0.0000030
 448.0894490    620.  0.0000050
 448.3426771   2900.  0.0000011
 448.4604742   1500.  0.0000020
 448.8156109   3700.  0.0000014
 448.8754450    920.  0.0000070
 448.9940160    970.  0.0000050
 449.0924190   1300.  0.0000040
 449.4594224  28000.  0.0000007
 450.0202139   3100.  0.0000023
 450.0229420    640.  0.0000050
 450.1245566   2400.  0.0000018
 450.6480340   1400.  0.0000040
 450.7737020    890.  0.0000030
 450.7812080    350.  0.0000110
 451.1790880   1200.  0.0000060
 451.4488870   1100.  0.0000040
 451.4945900   1100.  0.0000050
 451.6384520   5400.  0.0000008
 452.0526680   1200.  0.0000023
 452.2461724   3200.  0.0000010
 453.1589440   1100.  0.0000050
 453.4348019    800.  0.0000018
 453.4575280    860.  0.0000050
 453.5391050    680.  0.0000100
 453.6526240   2000.  0.0000030
 454.2272114   2300.  0.0000014
 454.5788170    450.  0.0000030
 454.7190128   2900.  0.0000025
 454.8524540    690.  0.0000030
 455.3429610    810.  0.0000050
 455.6995920   1600.  0.0000100
 455.7089707   3100.  0.0000023
 455.9623540    850.  0.0000030
 456.2626250   1300.  0.0000050
 456.3359070    400.  0.0000120
 456.4940150   1500.  0.0000040
 456.6114853    560.  0.0000011
 456.8520307   2000.  0.0000013
 456.9422840    650.  0.0000040
 457.2253255   3400.  0.0000021
 457.2500720    630.  0.0000050
 458.1110512    890.  0.0000012
 458.2457010    720.  0.0000050
 458.9711810   3800.  0.0000022
 459.0552690   1400.  0.0000060
 459.3952869   2800.  0.0000019
 459.4930850    670.  0.0000090
 459.6708191   8700.  0.0000010
 459.7595650    590.  0.0000040
 460.4434180    990.  0.0000040
 460.9225620    820.  0.0000040
 460.9911031    640.  0.0000008
 461.3151550    590.  0.0000050
 461.3834710    450.  0.0000040
 461.4896770    670.  0.0000006
 461.6316770    740.  0.0000050
 461.6626840    830.  0.0000030
 462.0773260    660.  0.0000060
 462.2457240   1100.  0.0000030
 462.8593856    660.  0.0000024
 462.9497620   1200.  0.0000030
 463.2939300    570.  0.0000040
 463.3058750   1300.  0.0000060
 463.5063340    950.  0.0000060
 463.9983787   1400.  0.0000017
 464.0818090    440.  0.0000120
 464.1002870    300.  0.0000110
 464.1194980    300.  0.0000080
 464.1345460    750.  0.0000060
 464.6007780    520.  0.0000090
 464.7987180    670.  0.0000040
 464.8552206   1100.  0.0000010
 465.1536380    930.  0.0000030
 465.2857630    790.  0.0000050
 465.3292010    680.  0.0000060
 466.0874460    490.  0.0000040
 466.4508069   3200.  0.0000012
 466.7311260    770.  0.0000050
 466.7822199   1400.  0.0000019
 466.8104840   1600.  0.0000030
 466.9478420   2500.  0.0000030
 467.1291506   3600.  0.0000024
 467.4969155  15000.  0.0000010
 467.7364405   2700.  0.0000024
 468.1547690    730.  0.0000030
 468.1956080    500.  0.0000050
 468.4662507   1300.  0.0000013
 468.7506126   4600.  0.0000009
 469.0482010    980.  0.0000060
 469.0564230   1500.  0.0000060
 469.1934676   1500.  0.0000017
 469.2811780    580.  0.0000030
 469.2948410   1600.  0.0000019
 469.5405060   1800.  0.0000040
 469.6351958   4900.  0.0000011
 469.6768290   1000.  0.0000080
 470.2086584    440.  0.0000024
 470.5306012  18000.  0.0000009
 470.7077270   1100.  0.0000060
 470.9611330    990.  0.0000040
 471.3800000   1900.  0.0000050
 471.4159480    600.  0.0000030
 471.6750110    260.  0.0000060
 472.1781171    520.  0.0000016
 472.2101750    310.  0.0000140
 472.2597381    970.  0.0000025
 472.3409700   1400.  0.0000040
 472.4759594  14000.  0.0000007
 472.5105010   2000.  0.0000040
 472.6094010    520.  0.0000050
 473.0451114   2900.  0.0000016
 473.1202540    410.  0.0000040
 474.1002010   1600.  0.0000040
 474.1855150   1500.  0.0000030
 474.2284513   1200.  0.0000011
 474.2629930    560.  0.0000050
 474.3444059    560.  0.0000011
 474.6664800    520.  0.0000030
 475.0528414   3600.  0.0000015
 475.1299780   1300.  0.0000030
 475.3743070   2100.  0.0000050
 475.9480180   1000.  0.0000030
 476.2441510    640.  0.0000120
 476.5678590   2700.  0.0000030
 476.6927400    920.  0.0000040
 476.7933269   3100.  0.0000016
 477.4575520    580.  0.0000030
 477.5586200    950.  0.0000050
 477.5610610    490.  0.0000030
 477.6648000    620.  0.0000060
 477.7129401    810.  0.0000021
 477.8527360   1100.  0.0000080
 477.9629805  10000.  0.0000009
 478.1064891    540.  0.0000023
 478.4098310    500.  0.0000050
 478.5199104    860.  0.0000023
 478.5376950    550.  0.0000110
 478.7869100    720.  0.0000040
 478.8486190   1100.  0.0000017
 479.0725632   5700.  0.0000009
 479.4584480    700.  0.0000030
 479.7253760    660.  0.0000030
 480.9477545  12000.  0.0000012
 481.0958290   3600.  0.0000012
 481.3720510    750.  0.0000030
 481.4351980    690.  0.0000030
 481.5065740   1600.  0.0000030
 481.5241690   2400.  0.0000016
 481.9994540    580.  0.0000120
 482.0539900    690.  0.0000050
 482.1811960    590.  0.0000030
 482.2231600   1700.  0.0000009
 482.2935219   1900.  0.0000012
 482.4202534   7400.  0.0000014
 482.4954360   2300.  0.0000030
 482.5344750    940.  0.0000040
 482.8049168   4700.  0.0000020
 483.1146890    510.  0.0000030
 483.2471227   7000.  0.0000010
 483.2947689   2500.  0.0000017
 483.4153020   1300.  0.0000040
 483.4529120    630.  0.0000050
 484.1828530    820.  0.0000070
 484.2195295   9600.  0.0000011
 484.5229950    830.  0.0000030
 484.5294506   1400.  0.0000015
 484.5518710    600.  0.0000060
 484.6516190    820.  0.0000030
 484.9716989   6000.  0.0000012
 485.0494710    910.  0.0000040
 485.1216506    680.  0.0000021
 485.1794610   1300.  0.0000050
 485.4224170   1300.  0.0000040
 485.9689960    880.  0.0000070
 486.2574530   1100.  0.0000050
 486.3075192    820.  0.0000019
 486.4499488   1500.  0.0000022
 486.4531980   4000.  0.0000040
 486.6836537   9200.  0.0000012
 487.0241200   1400.  0.0000030
 487.4277849   4400.  0.0000011
 487.5725760   2500.  0.0000030
 487.7856960    860.  0.0000070
 487.9371761   2200.  0.0000019
 488.0095576   7200.  0.0000010
 488.2567731    910.  0.0000011
 489.0855690    530.  0.0000017
 489.4125446    520.  0.0000016
 489.4811730    590.  0.0000030
 489.6321801  13000.  0.0000008
 490.0608040    680.  0.0000080
 490.3354400    340.  0.0000040
 490.3423163   1400.  0.0000021
 490.8579530    500.  0.0000130
 491.1528551   1000.  0.0000020
 491.2163830    660.  0.0000040
 491.2750120    550.  0.0000040
 491.3900810    930.  0.0000050
 492.1189314   5000.  0.0000022
 492.2987370   1000.  0.0000050
 492.4318530    440.  0.0000070
 492.5796970    420.  0.0000060
 492.7325230    770.  0.0000120
 492.9155924   1800.  0.0000023
 493.0461280    460.  0.0000030
 493.1360960    400.  0.0000080
 493.5229460    650.  0.0000050
 493.8153210   1400.  0.0000030
 493.9207770   1700.  0.0000030
 494.1020804   5600.  0.0000013
 494.4443659   2600.  0.0000008
 494.5087530    620.  0.0000140
 494.6838804   6600.  0.0000009
 494.8044470   1000.  0.0000030
 494.8956100    800.  0.0000060
 495.1632970    480.  0.0000080
 495.2007990   1000.  0.0000070
 495.5939580    380.  0.0000070
 495.6043390    500.  0.0000080
 496.1879110    270.  0.0000060
 496.3110560    780.  0.0000090
 496.5503840    420.  0.0000080
 496.7117220   1300.  0.0000030
 497.0140440    410.  0.0000060
 497.1465414    460.  0.0000020
 498.1575520   1300.  0.0000030
 498.3877505   1600.  0.0000018
 498.6763265   3700.  0.0000014
 498.8538630    560.  0.0000120
 499.0700490   1500.  0.0000030
 499.5141880    560.  0.0000012
 499.5499010    330.  0.0000030
 500.1334610    350.  0.0000120
 500.1641240    330.  0.0000100
 500.3492409   7800.  0.0000009
 500.4993790    610.  0.0000030
 500.5524170    690.  0.0000060
 501.7288390    800.  0.0000120
 501.8653560   2200.  0.0000040
 501.8907880    610.  0.0000050
 502.1206193   2000.  0.0000013
 502.3405570    850.  0.0000040
 502.3574740    470.  0.0000080
 502.5109480    440.  0.0000030
 503.0008040   1300.  0.0000060
 503.0057980   6100.  0.0000017
 503.1294425   1300.  0.0000015
 504.0635525   5300.  0.0000010
 504.0931612    420.  0.0000018
 504.2528130    800.  0.0000100
 504.4920940    330.  0.0000100
 504.6126157   9700.  0.0000009
 504.6173497    630.  0.0000022
 504.6655590   1500.  0.0000030
